iter;tot_exp;exp_01;exp_07;exp_10
94;28861118052.1826;9285148981.82308;2720777350.71306;1375243316.29072
95;29001324966.4638;9283693758.54712;2703637589.22431;1343496345.85639
96;29020143563.0337;9264969899.54494;2777292467.39646;1372267944.97764
97;28766011217.0734;9283418554.42118;2706932758.9764;1354719766.69495
98;28915939250.6798;9304549219.65989;2732599419.89739;1351452605.23144
99;28870981685.0929;9305652177.93914;2775352537.98685;1348008270.3247
100;29084167885.7143;9289258265.45566;2741999664.92002;1342638474.03217
101;28806777218.091;9285583266.46705;2763245575.15313;1361358373.01237
102;28942321647.8433;9296635620.42277;2710001406.3456;1361435419.65163
103;29025094033.8614;9327925334.18485;2680823259.56422;1368151302.08366
104;28671377571.4441;9279307106.88851;2754631343.50585;1371802040.908
105;28768066632.754;9353005226.11341;2719324931.07482;1366073514.07576
106;29023193851.3203;9284410137.53719;2683568066.01333;1337845297.4272
107;28981198341.7574;9294002207.45116;2696292520.65456;1344280548.09712
108;29013430668.5869;9310570037.02378;2703024053.31697;1360196668.15404
109;29060486245.2227;9284168849.80285;2712805556.9051;1350708364.34739
110;28890567959.8012;9268667020.31927;2742662984.82069;1358606718.21746
111;28847330314.8444;9283715432.33607;2751568144.61298;1347730645.81603
112;28873558029.3922;9305347120.58331;2720356848.16967;1366129786.37786
113;29082040730.2889;9271862680.058;2734276738.06362;1345261251.62187
114;29081888130.6296;9270502547.7726;2725010214.80658;1371717885.16153
115;29218002886.4135;9240259561.45772;2746155022.82128;1359583102.2385
116;29073188866.3204;9269827111.72509;2754953873.27384;1364204498.15662
117;29054646466.1836;9305563279.2444;2722111094.10288;1357933330.24778
118;29014182959.7902;9266200649.53046;2716260543.62848;1364085310.61926
119;28759194647.4272;9283928867.97573;2747242402.06284;1333868797.08877
120;28852035708.3928;9298927352.42113;2777291819.91043;1370157307.88526
121;28924976691.1539;9261365490.5193;2703768588.48891;1347768891.78892
122;28912460235.4847;9265192261.53192;2779172942.96027;1346875783.38798
123;28880857286.5998;9323869816.26685;2752896827.816;1371837235.21875
124;29094089354.4726;9325951949.24098;2720341488.52495;1355073666.84794
125;29016700657.2336;9273783586.3567;2764088099.16157;1368548501.0333
126;29042654979.6338;9295675692.06891;2762212010.24179;1360244363.84853
127;28849636336.4477;9301629234.80531;2735367446.89157;1363134156.14068
128;28891094593.554;9332260545.00904;2684483256.56312;1346646366.32406
129;29028599082.5072;9300160093.30575;2727912396.19852;1358649136.36113
130;28621175371.9264;9326059070.43828;2700196988.10685;1346598322.31171
131;29042465601.4461;9292037173.71415;2731947111.30316;1344087482.93276
132;29151275244.1905;9254341640.96889;2715251062.20415;1349902947.24613
133;28728657396.9725;9286168152.98227;2759389057.39121;1350911087.9286
134;28857103295.7135;9295750675.39047;2721824657.51185;1376704096.74128
135;28985259187.0321;9293974963.83353;2740425025.91727;1357029869.13639
136;28789780878.6421;9289827901.43063;2735660485.05717;1361509665.31182
137;29089272877.8504;9308570221.58745;2765739722.84986;1354551481.24921
138;28829151303.8728;9263583380.46406;2759583257.37565;1350973555.41209
139;28894237449.1697;9274310385.30841;2685016801.06506;1364716574.27652
140;29150351182.3067;9290283664.01099;2729134932.23112;1368768697.21264
141;28697786585.4539;9311355844.71355;2667820599.12218;1340102871.42612
142;28598669869.8127;9312010320.10785;2741097158.8816;1346917222.01404
143;28751524798.7206;9285223478.91867;2750016354.16337;1366054880.41384
144;28863772474.9859;9299102025.9968;2728182052.82873;1345093055.1008
145;28904200463.8378;9325731795.77677;2749250430.47483;1375924740.69292
