urbrur;n;iter;diff_rel
2;33148;81;0.00386267496257521
1;33148;82;0.00184407240695684
2;33148;82;-0.00150235433045716
1;33148;83;-0.00527883802802459
2;33148;83;0.00430063653751644
1;33148;84;0.00654788118477466
2;33148;84;-0.00533451811119442
1;33148;85;-0.00205336915180656
2;33148;85;0.00167286708786806
1;33148;86;-0.0078323342216971
2;33148;86;0.00638095401848818
1;33148;87;0.00157528333393867
2;33148;87;-0.00128337354298634
1;33148;88;0.00688386752604742
2;33148;88;-0.00560824409553274
1;33148;89;-0.0046068653454792
2;33148;89;0.0037531845688398
1;33148;90;-0.00675717792962451
2;33148;90;0.00550503086860532
1;33148;91;-0.00836991236773346
2;33148;91;0.00681891559342961
1;33148;92;0.00050012704186595
2;33148;92;-0.000407450393103685
1;33148;93;0.0138723834245197
2;33148;93;-0.0113017445697711
1;33148;94;-0.0076307424169335
2;33148;94;0.00621671842788527
1;33148;95;-0.000306240177188463
2;33148;95;0.000249491969308561
1;33148;96;-0.00467406261373365
2;33148;96;0.0038079297657075
1;33148;97;-0.00474125988198823
2;33148;97;0.00386267496257521
1;33148;98;0.00802622108637459
2;33148;98;-0.0065389124422833
1;33148;99;0.00170967787044769
2;33148;99;-0.00139286393672175
1;33148;100;0.00459916040539296
2;33148;100;-0.00374690740203181
1;63795;1;0.000233635284343707
2;63795;1;-0.000190341214291462
1;63795;2;0.0028872379750831
2;63795;2;-0.00235221483633856
1;63795;3;-4.56913146814007e-05
2;63795;3;3.72244301346869e-05
1;63795;4;-0.00154707178444191
2;63795;4;0.00126038976892451
1;63795;5;-0.000918586936635172
2;63795;5;0.000748367068966023
1;63795;6;-0.00559730747030721
2;63795;6;0.00456009161310174
1;63795;7;-0.000604344512731864
2;63795;7;0.000492355718986581
1;63795;8;-0.004864075147866
2;63795;8;0.00396273179648338
1;63795;9;0.000373298583856385
2;63795;9;-0.000304124036504435
1;63795;10;0.00571541979021324
2;63795;10;-0.00465631698615193
1;63795;11;-0.00940313238202548
2;63795;11;0.00766067351840613
1;63795;12;0.00166518410434782
2;63795;12;-0.00135661514197469
1;63795;13;-0.00357218962737456
2;63795;13;0.00291024069101312
1;63795;14;0.000897035957028648
2;63795;14;-0.000730809619803237
1;63795;15;-0.00109316606102593
2;63795;15;0.000890595596732089
1;63795;16;-0.00388643205127787
2;63795;16;0.00316625204099237
1;63795;17;-0.00042976538834111
2;63795;17;0.000350127191220314
1;63795;18;-0.00381660040152159
2;63795;18;0.00310936062988578
1;63795;19;0.00470286086874692
2;63795;19;-0.00383139152510762
1;63795;20;-0.00441016942445013
2;63795;20;0.00359293762429117
1;63795;21;0.00606457803899463
2;63795;21;-0.00494077404168447
1;63795;22;-0.000499597038097387
2;63795;22;0.000407018602326901
1;63795;23;-0.00154707178444191
2;63795;23;0.00126038976892451
1;63795;24;-0.0018962300332233
2;63795;24;0.00154484682445704
1;63795;25;-0.00465458019859717
2;63795;25;0.00379205756316382
1;63795;26;-0.00144232430980744
2;63795;26;0.00117505265226462
1;63795;27;-0.00102333441126965
2;63795;27;0.000833704185625703
1;63795;28;-0.00315319972883678
2;63795;28;0.002568892224374
1;63795;29;0.0021190898277638
2;63795;29;-0.00172640931416711
1;63795;30;-0.00654003474201726
2;63795;30;0.00532812566303947
1;63795;31;-0.000883671111756972
2;63795;31;0.00071992136341273
1;63795;32;-0.00283895730493335
2;63795;32;0.00231288087439476
1;63795;33;0.00658831541216689
2;63795;33;-0.00536745962498327
1;63795;34;0.00330622787362088
2;63795;34;-0.00269356330297769
1;63795;35;0.0040045443711839
2;63795;35;-0.00326247741404255
1;63795;36;-0.00259454653078631
2;63795;36;0.00211376093552211
1;63795;37;0.00075737265751597
2;63795;37;-0.000617026797590263
1;63795;38;0.00327131204874268
2;63795;38;-0.00266511759742439
1;63795;39;-0.00647020309226086
2;63795;39;0.00527123425193308
1;63795;40;-0.00650511891713906
2;63795;40;0.00529967995748637
1;63795;41;0.00232858477703276
2;63795;41;-0.00189708354748647
1;63795;42;9.39719848311532e-05
2;63795;42;-7.65583920782866e-05
1;63795;43;0.0050869349424065
2;63795;43;-0.00414429428619345
1;63795;44;0.00491235581801575
2;63795;44;-0.00400206575842718
1;63795;45;0.00204925817800753
2;63795;45;-0.00166951790306052
1;63795;46;-0.00737801453909283
2;63795;46;0.00601082259631751
1;63795;47;0.000897035957028648
2;63795;47;-0.000730809619803237
1;63795;48;0.00379504942191495
2;63795;48;-0.00309180318072319
1;63795;49;0.00225875312727636
2;63795;49;-0.00184019213638008
1;63795;50;-0.00235013575663928
2;63795;50;0.00191464099664925
1;63795;51;-4.56913146814007e-05
2;63795;51;3.72244301346869e-05
1;63795;52;-0.00126774518541668
2;63795;52;0.00103282412449836
1;63795;53;-0.00769225696299614
2;63795;53;0.00626683394629695
1;63795;54;-0.00224538828200481
2;63795;54;0.00182930387998957
1;63795;55;-0.00133757683517296
2;63795;55;0.00108971553560494
1;63795;56;-0.00042976538834111
2;63795;56;0.000350127191220314
1;63795;57;0.0069723894858266
2;63795;57;-0.0056803623860691
1;63795;58;0.00159535245459154
2;63795;58;-0.00129972373086831
1;63795;59;-0.00591154989421052
2;63795;59;0.00481610296308099
1;63795;60;-0.000394849563462909
2;63795;60;0.000321681485667221
1;63795;61;0.00264282720093607
2;63795;61;-0.00215309489746571
1;63795;62;-0.00461966437371896
2;63795;62;0.00376361185761073
1;63795;63;-0.00137249266005116
2;63795;63;0.00111816124115824
1;63795;64;-0.00678444551616429
2;63795;64;0.00552724560191232
1;63795;65;-0.00957771150641624
2;63795;65;0.0078029020461724
1;63795;66;-0.00241996740639556
2;63795;66;0.00197153240775584
1;63795;67;-0.00444508524932821
2;63795;67;0.00362138332984446
1;63795;68;0.000827204307272247
2;63795;68;-0.000673918208696649
1;63795;69;0.00533134571655353
2;63795;69;-0.0043434142250663
1;63795;70;0.000512961883368939
2;63795;70;-0.000417906858717409
1;63795;71;-0.00472441184835344
2;63795;71;0.00384894897427041
1;63795;72;-0.00140740848492923
2;63795;72;0.00114660694671153
1;63795;73;-0.00133757683517296
2;63795;73;0.00108971553560494
1;63795;74;-0.00514340174689123
2;63795;74;0.00419029744090953
1;63795;75;0.00739137938436439
2;63795;75;-0.00602171085270802
1;63795;76;-0.0108346812020296
2;63795;76;0.00882694744608956
1;63795;77;0.00075737265751597
2;63795;77;-0.000617026797590263
1;63795;78;-0.00238505158151748
2;63795;78;0.00194308670220255
1;63795;79;-0.000918586936635172
2;63795;79;0.000748367068966023
1;63795;80;-0.000604344512731864
2;63795;80;0.000492355718986581
1;63795;81;0.00128111003068823
2;63795;81;-0.00104371238088886
1;63795;82;-0.00357218962737456
2;63795;82;0.00291024069101312
1;63795;83;0.00218892147752008
2;63795;83;-0.00178330072527349
1;63795;84;-0.00825091016104648
2;63795;84;0.00672196523514885
1;63795;85;0.00648356793753254
2;63795;85;-0.00528212250832359
1;63795;86;0.002154005652642
2;63795;86;-0.0017548550197202
1;63795;87;-0.00280404148005527
2;63795;87;0.00228443516884147
1;63795;88;-0.00695902464055505
2;63795;88;0.00566947412967859
1;63795;89;-0.0079017519122651
2;63795;89;0.00643750817961631
1;63795;90;0.0020841740028856
2;63795;90;-0.00169796360861381
1;63795;91;-0.000220270439072155
2;63795;91;0.000179452957900954
1;63795;92;0.00341097534825536
2;63795;92;-0.00277890041963736
1;63795;93;0.00424895514533093
2;63795;93;-0.00346159735291541
1;63795;94;0.00463302921899052
2;63795;94;-0.00377450011400124
1;63795;95;0.00389979689654942
2;63795;95;-0.00317714029738287
1;63795;96;-0.00406101117566863
2;63795;96;0.00330848056875863
1;63795;97;-0.00214064080737045
2;63795;97;0.00174396676332969
1;63795;98;0.00194451070337305
2;63795;98;-0.00158418078640084
1;63795;99;0.0101846453746163
2;63795;99;-0.00829736729696829
1;63795;100;-0.00528306504640378
2;63795;100;0.0043040802631225
1;94441;1;-0.000887079842132328
2;94441;1;0.000722698434866897
1;94441;2;0.000174275683164546
2;94441;2;-0.000141981316084929
1;94441;3;-0.00444851727146218
2;94441;3;0.00362417937694943
1;94441;4;0.00111770281676193
2;94441;4;-0.000910585539153264
1;94441;5;3.27616131250369e-05
2;94441;5;-2.66906826246587e-05
1;94441;6;-0.00249090596924771
2;94441;6;0.00202932561408282
1;94441;7;0.00375929879083429
2;94441;7;-0.00306267736374424
1;94441;8;0.00208471562869909
2;94441;8;-0.00169840486779818
1;94441;9;0.0049857540645107
2;94441;9;-0.00406186285373311
1;94441;10;0.00375929879083429
2;94441;10;-0.00306267736374424
1;94441;11;0.00524519652625007
2;94441;11;-0.00427322901507687
1;94441;12;-0.00275034843098696
2;94441;12;0.00224069177542659
1;94441;13;0.00423101235763299
2;94441;13;-0.00344697947527841
1;94441;14;0.00196678723699948
2;94441;14;-0.00160232933991468
1;94441;15;-0.00206636375912894
2;94441;15;0.00168345371370221
1;94441;16;-0.00562780118845879
2;94441;16;0.00458493465578474
1;94441;17;-6.1581100234677e-05
2;94441;17;5.01697396820539e-05
1;94441;18;-0.000651223058732982
2;94441;18;0.000530547379099713
1;94441;19;0.00250925783881787
2;94441;19;-0.00204427676817899
1;94441;20;0.000952603068382402
2;94441;20;-0.000776079800116214
1;94441;21;-0.00562780118845879
2;94441;21;0.00458493465578474
1;94441;22;0.00191961588031956
2;94441;22;-0.00156389912876133
1;94441;23;0.0009761887467223
2;94441;23;-0.000795294905692993
1;94441;24;-0.00451927430648187
2;94441;24;0.00368182469367956
1;94441;25;-0.00367018988624432
2;94441;25;0.00299008089291814
1;94441;26;-0.00371736124292424
2;94441;26;0.0030285111040715
1;94441;27;0.00649523747826637
2;94441;27;-0.00529162961064233
1;94441;28;-0.00437776023644236
2;94441;28;0.00356653406021929
1;94441;29;-0.000462537632013554
2;94441;29;0.000376826534486086
1;94441;30;0.00144790231352087
2;94441;30;-0.00117959701722716
1;94441;31;-0.000250266526954229
2;94441;31;0.000203890584295681
1;94441;32;-0.000745565772092819
2;94441;32;0.000607407801406627
1;94441;33;0.000787503320002872
2;94441;33;-0.000641574061079367
1;94441;34;-0.00260883436094745
2;94441;34;0.00212540114196632
1;94441;35;-0.00383528963462385
2;94441;35;0.00312458663195519
1;94441;36;-0.000132338135254493
2;94441;36;0.000107815056412189
1;94441;37;-0.00392963234798357
2;94441;37;0.0032014470542619
1;94441;38;0.00274511462221721
2;94441;38;-0.00223642782394597
1;94441;39;-0.000934251198812247
2;94441;39;0.000761128646020253
1;94441;40;-0.00107576526885176
2;94441;40;0.000876419279480524
1;94441;41;0.00397156989589362
2;94441;41;-0.00323561331393464
1;94441;42;0.00503292542119062
2;94441;42;-0.00410029306488647
1;94441;43;-0.000179509491934412
2;94441;43;0.000146245267565545
1;94441;44;0.00809906360538175
2;94441;44;-0.00659825678985825
1;94441;45;0.00913683345233885
2;94441;45;-0.0074437214352333
1;94441;46;0.000150690004824648
2;94441;46;-0.000122766210508352
1;94441;47;-0.000344609240313942
2;94441;47;0.000280751006602595
1;94441;48;-0.0063353715386567
2;94441;48;0.00516138782308589
1;94441;49;0.00383005582585411
2;94441;49;-0.00312032268047437
1;94441;50;-0.00308054792774602
2;94441;50;0.00250970325350048
1;94441;51;0.00706129375842478
2;94441;51;-0.00575279214448321
1;94441;52;-0.00133520773059112
2;94441;52;0.00108778544082429
1;94441;53;0.00649523747826637
2;94441;53;-0.00529162961064233
1;94441;54;0.00250925783881787
2;94441;54;-0.00204427676817899
1;94441;55;-0.000887079842132328
2;94441;55;0.000722698434866897
1;94441;56;-0.00645329993035632
2;94441;56;0.00525746335096959
1;94441;57;-0.00529760169169973
2;94441;57;0.00431592317771085
1;94441;58;0.00463196888941174
2;94441;58;-0.00377363627008244
1;94441;59;-0.00673632807043558
2;94441;59;0.00548804461788993
1;94441;60;-0.00855242530261029
2;94441;60;0.00696760774729646
1;94441;61;-0.000674808737073003
2;94441;61;0.000549762484676492
1;94441;62;0.00533953923960978
2;94441;62;-0.00435008943738359
1;94441;63;-0.000887079842132328
2;94441;63;0.000722698434866897
1;94441;64;0.00298097140561656
2;94441;64;-0.00242857887971295
1;94441;65;0.00213188698537901
2;94441;65;-0.00173683507895153
1;94441;66;0.00163658774024042
2;94441;66;-0.00133331786184079
1;94441;67;-0.00036819491865384
2;94441;67;0.000299966112179374
1;94441;68;0.00151865934854069
2;94441;68;-0.0012372423339573
1;94441;69;0.000315789753204179
2;94441;69;-0.000257271949545199
1;94441;70;0.000221447039844465
2;94441;70;-0.000180411527238285
1;94441;71;-0.00859959665929021
2;94441;71;0.00700603795844982
1;94441;72;-0.00133520773059112
2;94441;72;0.00108778544082429
1;94441;73;-0.000651223058732982
2;94441;73;0.000530547379099713
1;94441;74;-0.000179509491934412
2;94441;74;0.000146245267565545
1;94441;75;0.00467914024609166
2;94441;75;-0.00381206648123579
1;94441;76;0.00121204553012165
2;94441;76;-0.000987445961459976
1;94441;77;-0.000981422555492042
2;94441;77;0.00079955885717361
1;94441;78;0.00274511462221721
2;94441;78;-0.00223642782394597
1;94441;79;-0.00581648661517822
2;94441;79;0.00473865550039837
1;94441;80;-0.00779768359573246
2;94441;80;0.00635272436884175
1;94441;81;0.00581125280640835
2;94441;81;-0.00473439154891776
1;94441;82;-0.000745565772092819
2;94441;82;0.000607407801406627
1;94441;83;-0.000863494163792431
2;94441;83;0.000703483329290118
1;94441;84;-0.00286827682268669
2;94441;84;0.00233676730331008
1;94441;85;-0.00251449164758773
2;94441;85;0.0020485407196596
1;94441;86;-0.00289186250102659
2;94441;86;0.00235598240888686
1;94441;87;0.00342909929407523
2;94441;87;-0.00279366588567054
1;94441;88;0.00656599451328619
2;94441;88;-0.00534927492737246
1;94441;89;-0.00173616426236988
2;94441;89;0.00141444223562832
1;94441;90;-0.00194843536742933
2;94441;90;0.00158737818581852
1;94441;91;-0.00470795973320142
2;94441;91;0.00383554553829319
1;94441;92;0.00331117090237562
2;94441;92;-0.00269759035778685
1;94441;93;0.000528060858263628
2;94441;93;-0.000430207899735605
1;94441;94;-0.00256166300426753
2;94441;94;0.00208697093081296
1;94441;95;0.000929017390042381
